ID,Date,Condition,Collector,Location,DS,IC,Comp,Age,Gender,Student,Mjr.Occ,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,Imp.1,Eff.1,Exc,Comments,Collection,DV,filter_$
A278,4/28/17,L,DF,UVA Campus,0,1,1,21,M,Y,History,6,6,5,7,7,6,7,6,7,7,0,NA,2,6.333333333,1
A279,4/28/17,L,DF,UVA Campus,0,1,1,21,M,Y,Spanish,7,6,5,5,7,6,7,6,6,6,0,NA,2,6.5,1
A280,6/3/17,L,LH,City Marke,1,1,1,51,F,N,Food services,6,5,6,7,7,7,6,7,5,6,0,NA,2,6.333333333,1
A281,5/20/17,H,AG,City Marke,1,1,1,26,F,Y,Developmental psychology,5,5,5,6,4,5,6,5,5,6,0,NA,2,5,1
A282,5/20/17,H,AG,City Marke,1,1,1,55,F,N,Teacher,7,4,4,7,7,7,7,6,7,6,0,NA,2,6.333333333,1
A283,5/20/17,H,AG,City Marke,1,1,1,32,F,N,"Physics, Military",6,5,6,7,6,6,7,6,3,4,0,NA,2,6,1
A284,5/20/17,H,AG,City Marke,1,1,1,31,M,N,Math research,6,6,4,4,5,6,6,4,6,5,1,NA,2,5.5,0
A285,5/20/17,H,AG,City Marke,1,1,1,55,F,N,0,5,6,6,6,5,6,6,5,4,4,0,NA,2,5.5,1
A286,5/20/17,H,AG,City Marke,1,1,0,0,0,0,0, , , , , , , , ,0,0,1,Pa,2, ,0
A287,5/20/17,H,AG,City Marke,1,2,1,24,F,Y,Medical school,6,6,6,6,6,6,7,6,5,6,0,NA,2,6.166666667,1
A288,5/20/17,H,AG,City Marke,1,1,1,31,M,N,UVA,6,5,5,5,6,5,7,6,4,4,0,NA,2,5.833333333,1
A289,5/20/17,H,AG,City Marke,1,1,1,19,F,Y,Surgical technology,7,7,5,7,7,6,7,6,5,6,1,Pa,2,6.666666667,0
A290,6/3/17,H,LH,City Marke,1,1,1,52,M,N,Homebuilding,5,6,6,7,5,4,6,5,4,5,0,NA,2,5.166666667,1
A291,5/20/17,L,AG,City Marke,1,1,1,26,M,N,Resident physician,6,7,7,7,7,7,7,6,7,7,0,NA,2,6.666666667,1
A292,5/20/17,L,AG,City Marke,1,2,1,65,M,N,Physician,6,6,5,4,6,6,6,6,7,6,1,NA,2,6,0
A293,5/20/20,L,AG,City Marke,1,1,1,27,F,Y,M.D.,6,4,6,4,5,5,6,5,6,4,0,NA,2,5.166666667,1
A294,5/20/17,L,AG,City Marke,1,1,1,61,F,N,"Retired, telecommunications",5,5,6,7,5,5,4,5,6,6,0,NA,2,4.833333333,1
A295,5/20/17,L,AG,City Marke,1,1,1,46,F,N,Family physician,5,6,6,7,7,6,6,5,6,5,0,NA,2,5.833333333,1
A296,5/20/17,L,AG,City Marke,1,1,1,52,F,N,Massage therapist,4,5,6,7,4,5,5,5,5,6,0,NA,2,4.666666667,1
A297,5/20/17,L,AG,City Marke,1,1,1,32,F,N,Research associate,6,6,5,6,5,5,6,5,7,7,0,NA,2,5.5,1
A298,5/20/17,L,AG,City Marke,1,1,1,65,M,N,"Data scientist, ""recovering academic""",6,6,7, ,7,7,7, ,1,6,0,Pa,2,6.6,1
A299,5/20/17,L,AG,City Marke,1,1,1,28,M,N,Server,7,6,6,3,4,6,7,6,7,7,0,NA,2,6,1
A300,5/20/17,L,AG,City Marke,1,1,1,73,M,N,M.D.,7,6,7,7,7,7,7,7,5,6,0,NA,2,6.833333333,1
A301,5/20/17,H,AG,City Marke,1,1,1,65,F,N,"Professor, Integrated science", , , , , , , , ,5,3,1,Pa,2, ,0
A302,5/20/17,H,AG,City Marke,1,2,1,19,M,Y,Mathematics,7,5,3,5,7,7,7,6,7,7,0,NA,2,6.5,1
A303,5/20/17,H,AG,City Marke,1,1,1,31,F,N,Research statistician,6,5, ,5,7,5,6, ,7,7,0,Pa,2,5.8,1
A304,5/20/17,H,AG,City Marke,1,1,1,29,M,N,"Tutor, musician",6,5,6,7,5,5,7,5,7,4,1,Pa,2,5.5,0
A305,5/20/17,H,AG,City Marke,1,1,1,41,M,N,Technology support,6,6,7,6,6,6,6,6,5,6,0,NA,2,6,1
A306,5/20/17,H,AG,City Marke,1,1,1,44,F,N,Occupational therapist,6,6,6,6,6,6,7,6,5,5,0,NA,2,6.166666667,1
A307,5/20/17,H,AG,City Marke,1,1,1,29,M,N,Electrician,6,6,6,4,5,7,7,6,4,5,0,NA,2,6.166666667,1
A308,6/3/17,H,LH,City Marke,1,1,1,23,F,Y,"Student, Radiology Technician",5,5,7,7,7,5,7,5,6,6,0,NA,2,5.666666667,1
A309,6/3/17,H,LH,City Marke,1,1,1,29,F,N,"Lead laboratory technologist, Blood Bank",6,5,6,6,6,5,6,6,5,6,0,NA,2,5.666666667,1
A310,6/3/17,H,LH,City Marke,1,1,1,26,M,N,Clinical lab scientist,6,5,5,6,6,6,7,6,7,6,0,NA,2,6,1
A311,5/20/17,L,AG,City Marke,1,1,1,21,M,Y,Nuclear engineering,6,4,6,7,5,5,7,5,4,6,0,NA,2,5.333333333,1
A312,5/20/17,L,AG,City Marke,1,1,1,25,M,Y,Medical school,6,6,6,7,6,6,7,6,5,4,0,NA,2,6.166666667,1
A313,5/20/17,L,AG,City Marke,1,1,1,29,F,N,Dog trainer,7,5,6,7,7,7,7,5,7,5,1,Pa,2,6.333333333,0
A314,5/20/17,L,AG,City Marke,1,1,1,50,F,N,Mathematics,5,6,6,5,5,5,5,5,5,4,0,NA,2,5.166666667,1
